statement,truth
"""The Notebook is finally getting a sequel. Producers of the upcoming film confirmed .... that filming will begin in Jacksonville, North Carolina this summer.""",0
"""BREAKING: Nancy Pelosi Was Just Taken From Her Office In Handcuffs""",0
"""The Notebook is finally getting a sequel. Producers of the upcoming film confirmed .... that filming will begin in Jacksonville, North Carolina this summer.""",0
"""New regulation requires motorcycle owners to install 75 MPH governor by January 2017""",0
"""President Trump just told Paul Ryan, ’You’re fired.’""",0
"Says former Sen. Rick Santorum said, ""Sometimes pregnancy is God’s way of comforting rape victims.""",1
"""There are about as many members of the Armed Forces marching bands as there are American diplomats.""",2
"Says there is a ""traditional 60-vote threshold for confirming Supreme Court nominees.""",2
"""...the earth moves closer to the sun every year “ you know the rotation of the earth. We’re moving closer to the sun.""",1
"A study of where teachers apply to work found that ""less than 5 percent wanted to work in rural Wisconsin.""",1
"In New York state, ""you cannot charge an older person even one dollar more than a younger person"" for health insurance.",5
"""Ken Starr’s plane just disappeared on his way to D.C. to testify against Hillary (Clinton).""",0
"""It’s been proven over and over again Medicaid has the worst outcomes in the industrialized world as far as the quality of health care.""",1
"""215 members of Congress just voted to let your ISP spy on what type of underwear you buy and sell that data to advertisers.""",4
"""Governor Rauner has called every year for eliminating funding for afterschool programs for at-risk youth, homeless prevention services and programs that help autistic children.""",4
"About a third of Wisconsin’s high schools ""are missing the mark of graduating young adults who are college ready,"" a ""pass rate of 66.6%.""",2
"""Just last May, the Department of Justice inspector general found that these (’sanctuary city’) policies also violate federal law.""",2
"Says if a Florida bill (HB 697) punishing sanctuary cities becomes law ""it will be the only law of its kind in the nation.""",4
"""Global food demand is expected to increase by 50 to 97 percent by 2050.""",4
"""As an undocumented immigrant, you do have constitutional rights here in the United States.""",4
"""2.1 million jobs have been created in the last six or seven years"" in California",5
"Texas ""spent close to a third of its budget on Medicaid last year, a third of all state spending.""",4
"""K-12 education is getting more money this year than they did last year. ... It is a total increase of 4.1 percent.""",2
"""Immigrants are responsible for 96 percent of our small biz growth since 2000.""",1
"""In fact, if you add up the net wealth of his cabinet, it has more wealth than a third of the American people total -- close to 100 million people.""",4
Says Florida officials amended a contract from Lockheed Martin from 305 promised jobs to six.,4
"Obamacare ""is in a death spiral.""",1
"""Somebody observed this week that you have to go back to the very founding of the government to the first administration of George Washington to find a time when it’s taken longer to put a Cabinet in place.""",1
"""We have counties where there have been one arrest under the SAFE Act. It indicates there’s not a whole lot of interest in enforcing this in our upstate counties.""",3
"""We offer a tremendous amount of low calorie, no calorie options, like waters, unsweetened products, low calorie diet items. All of which unfortunately are taxed by this tax.""",0
"""More than half of Planned Parenthood facilities are in rural or medically underserved areas.""",5
"""Under the Republican health care repeal proposal North Carolina faces the 2nd highest premium increase in the nation. North Carolina residents will face an average cost increase of over $7,500.""",3
"""Since China joined  -  that’s another beauty  -  the WTO in 2001, the U.S. has lost many more than 60,000 factories.""",4
"""Our minority graduation rate went from levels below Milwaukee and Madison, to above 80%"" when I was Beloit school superintendent.",4
"""The vast majority of marketplace enrollees have experienced no average premium hike at all.""",4
"""South Florida ranks No. 1 in the gap between wages and housing.""",5
"Says ""Snoop Dogg arrested for conspiracy after talking about his ’murder Trump’ video.""",0
"Said Adolf Hitler and Donald Trump have both described deportations as ""a military operation.""",2
"The GOP’s Obamacare replacement would reduce subsidies that help lower-income people buy health insurance, but also ""expand the entitlement"" by giving subsidies to higher-income people ""that Obamacare never helped.""",5
"Says President Donald Trump’s proposal to allow Americans to buy health insurance across state lines would make it the same as ""the way you buy car insurance"" today.",1
"Says ""(Barack) Obama’s mother-in-law charged with larceny and fraud.""",0
"Says Paul Manafort ""played a very limited role"" in the Trump presidential campaign.",1
"""In year No. 1, 14 million Americans lose coverage,"" according to the CBO.",4
"""Since the day of my election, we’ve already cut illegal immigration at the southern border by 61 percent.""",4
"Wealthy foreigners can obtain visas through a special program, but only a small number ""invest in true high-unemployment areas. Almost every other EB-5 project uses gerrymandering to qualify as distressed.""",4
"Under ""Trumpcare,"" the Republican replacement for Obamacare, ""$600 billion worth of tax breaks will go to the wealthiest in this country.""",3
"Says U.S. Health and Human Services Secretary Tom Price said, ""It’s better for our budget if cancer patients die more quickly.""",0
"""There’s no demonstrable evidence they (after-school programs that feed kids) are helping kids do better at school.""",2
"""USAID put $8 billion up and attracted more than $45 billion in a public-private partnership called Power Africa.""",4
